,,,,,,,Rankings from: May 2016,,,,,,,,,,* reclassified player not included in some rankings,,
,,,,,,,,,,,,,,,,,,,
Row,Prev,RSCI,Chg,Avg,Dev,,,VC,ESPN,Scout,Rivals,247Sports,PrepStars,Total,,Ht,Pos,City,College
1,2,1,1,1,0.5,,Josh Jackson,2,2,1,1,1,1,598,,6-7,SF-SG,"Napa, CA",Kansas
2,1,2,-1,2,0.7,,Harry Giles,3,1,2,2,2,5,591,,6-10,PF,"High Point, NC",Duke
3,7,3,4,4,2.2,,Lonzo Ball,1,4,7,4,3,2,585,,6-6,PG,"Chino, CA",UCLA
4,3,3, ,4,0.5,,Jayson Tatum,4,3,4,3,4,3,585,,6-8,SF,"St. Louis, MO",Duke
5,11,5,6,5,1.4,,Markelle Fultz,5,7,3,5,5,9,572,,6-4,SG-PG,"Hyattsville, MD",Washington
6,5,6,-1,6,0.4,,De'Aaron Fox,7,6,6,6,6,6,569,,6-4,PG,"Katy, TX",Kentucky
7,10,7,3,8,2.5,,Jonathan Isaac,8,12,5,8,8,12,553,,6-10,SF,"Bradenton, FL",Florida State
8,8,8, ,8,2.4,,"Edrice ""Bam"" Adebayo",10,5,11,7,9,16,548,,6-9,PF,"High Point, NC",Kentucky
9,4,9,-5,10,1.8,,Malik Monk,9,9,13,9,11,8,547,,6-4,SG-PG,"Bentonville, AR",Kentucky
10,9,10,-1,11,2.2,,Miles Bridges,11,8,14,10,12,13,538,,6-6,SF,"Huntington, WV",Michigan State
11,21,11,10,12,3.2,,Marques Bolden,12,16,8,11,15,7,537,,6-11,C,"DeSoto, TX",Duke
12,12,12, ,14,2.1,,Terrance Ferguson,15,11,16,14,16,10,524,,6-7,SG,"Dallas, TX",Arizona
13,16,13,3,14,1.9,,Wenyen Gabriel,17,14,12,13,14,19,517,,6-9,PF,"Wilbraham, MA",Kentucky
14,13,14,-1,13,3.0,,Frank Jackson,14,10,18,12,13,24,515,,6-3,PG-SG,"American Fork, UT",Duke
15,19,15,4,16,0.9,,Jarrett Allen,16,15,15,15,17,14,514,,6-9,C-PF,"Austin, TX",Texas
16,15,16,-1,16,3.8,,T.J. Leaf,13,13,22,16,18,11,513,,6-9,PF,"El Cajon, CA",UCLA
17,19,17,2,19,1.2,,Omari Spellman,19,18,21,18,19,15,496,,6-9,C,"Granby, MA",Villanova
18,22,18,4,22,2.8,,Mustapha Heron,20,25,25,19,23,27,467,,6-5,SF,"Waterbury, CT",Auburn
19,28,19,9,24,4.1,,Tony Bradley,23,17,26,27,26,22,465,,6-10,PF,"Bartow, FL",North Carolina
20,18,20,-2,21,1.9,,Josh Langford,21,19,24,20,20,38,464,,6-5,SG,"Madison, AL",Michigan State
21,14,21,-7,20,2.6,,Rawle Alkins,18,21,23,17,22,42,463,,6-5,SG,"Middle Village, NY",Arizona
22,25,21,4,25,1.4,,Sacha Killeya-Jones,26,24,27,24,24,18,463,,6-10,PF,"Lynchburg, VA",Kentucky
23,34,23,11,26,5.1,,Andrew Jones,28,29,19,22,31,20,457,,6-4,SG-PG,"Irving, TX",Texas
24,17,24,-7,25,4.9,,Kobi Simmons,22,20,32,23,28,26,455,,6-5,PG-SG,"Alpharetta, GA",Arizona
25,24,25,-1,24,2.8,,V.J. King,25,23,20,26,27,31,454,,6-7,SF,"Fairfax, VA",Louisville
26,37,26,11,29,1.7,,Bruce Brown,29,26,28,30,30,28,435,,6-4,SG,"Saxtons River, VT",Miami
27,23,27,-4,28,0.8,,Dewan Huell,27,28,29,28,29,37,428,,6-10,PF,"Miami, FL",Miami
28,60,28,32,33,6.9,,Zach Collins,35,37,38,21,32,17,426,,6-10,C,"Las Vegas, NV",Gonzaga
29,29,29, ,31,1.8,,Cassius Winston,33,31,30,29,33,25,425,,6-2,PG,"Detroit, MI",Michigan State
30,32,30,2,32,1.9,,Alterique Gilbert,31,30,31,34,34,32,414,,5-10,PG,"Lithonia, GA",Connecticut
31,27,31,-4,34,1.6,,Tyus Battle,32,35,33,33,36,30,407,,6-6,SG,"Gladstone, NJ",Syracuse
32,33,32,1,36,7.1,,Kyle Guy,30,27,42,43,37,29,398,,6-2,PG,"Indianapolis, IN",Virginia
33,26,33,-7,29,5.9,,Udoka Azubuike,24,22,34,31,35,74,386,,6-11,C,"Jacksonville, FL",Kansas
34,62,34,28,42,19.9,,Ike Anigbogu,60,60,17,25,47,23,374,,6-9,C,"Corona, CA",UCLA
35,36,35,1,41,2.0,,Javin DeLaurier,41,44,41,39,39,33,369,,6-9,PF,"Charlottesville, VA",Duke
36,48,36,12,40,7.7,,Shamorie Ponds,37,36,51,32,45,43,362,,5-11,PG,"Rochester, NY",St. John's
37,61,37,24,NA,NA,,Thon Maker,6,,9,,10,21,358,,7-0,PF-C,"Toronto, Canada",NBA
38,35,38,-3,42,6.7,,Kameron McGusty,36,46,35,51,42,40,356,,6-5,SG,"Katy, TX",Oklahoma
39,44,39,5,40,3.5,,Sam Cunliffe,42,41,45,36,38,49,355,,6-7,SF,"Seattle, WA",Arizona State
40,41,40,1,41,8.9,,Amir Coffey,34,32,39,52,49,57,343,,6-7,SG,"Hopkins, MN",Minnesota
41,40,40, ,45,7.9,,Seventh Woods,39,58,40,42,48,36,343,,6-1,PG-SG,"Columbia, SC",North Carolina
42,39,40,-1,44,6.3,,De'Ron Davis,48,51,44,35,40,45,343,,6-10,PF,"Aurora, CO",Indiana
43,46,43,3,44,5.2,,Tony Carr,43,42,37,46,51,46,341,,6-4,PG,"Philadelphia, PA",Penn State
44,37,44,-7,42,3.6,,Nick Ward,40,39,48,41,41,58,339,,6-8,PF,"Columbus, OH",Michigan State
45,46,45,1,51,3.8,,Payton Pritchard,45,54,52,49,54,39,313,,6-0,PG,"West Linn, OR",Oregon
46,43,46,-3,49,5.7,,Ty Jerome,53,43,54,53,43,50,310,,6-4,SG,"New Rochelle, NY",Virginia
47,50,47,3,48,6.8,,De'Riante Jenkins,51,59,43,44,44,62,303,,6-6,SF,"Chatham, VA",VCU
48,30,48,-18,51,5.3,,Mario Kegler,49,47,60,48,52,53,297,,6-7,SF,"Jackson, MS",Mississippi State
49,5,49,-44,NA,NA,,Dennis Smith *,,,10,,7,4,282,,6-2,PG,"Fayetteville, NC",NC State
50,30,50,-20,53,6.1,,Juwan Durham,52,52,63,47,50,63,279,,6-11,PF,"Tampa, FL",Connecticut
51,55,51,4,56,8.3,,Robert Williams,55,50,46,67,60,51,277,,6-8,PF,"Vivian, LA",Texas A&M
52,42,52,-10,50,10.5,,Schnider Herard,57,64,47,37,46,87,268,,6-10,C,"Plano, TX",Mississippi State
53,53,53, ,55,8.5,,Kevin Huerter,44,49,61,59,64,65,264,,6-6,SG,"Clifton Park, NY",Maryland
54,67,54,13,57,8.3,,Xavier Simpson,50,48,57,65,66,60,260,,5-11,PG,"Lima, OH",Michigan
55,51,55,-4,58,13.2,,DeJon Jarreau,71,63,67,38,53,56,258,,6-3,SG-PG,"New Orleans, LA",Massachusetts
56,72,56,16,57,18.4,,Braxton Key,47,33,82,64,57,67,256,,6-8,SF,"Mouth of Wilson, VA",Alabama
57,73,57,16,58,7.4,,Anthony Cowan,63,62,58,45,61,69,248,,6-0,PG,"Washington, DC",Maryland
58,75,58,17,64,6.0,,Charlie Moore,66,61,65,55,71,48,240,,5-11,PG,"Chicago, IL",California
59,53,59,-6,59,21.4,,Jaylen Fisher,46,34,90,57,68,76,235,,6-2,PG,"Arlington, TN",TCU
60,45,60,-15,64,13.6,,Matthew Moyer,67,74,71,40,67,54,233,,6-8,SF,"Columbus, OH",Syracuse
61,,61,new,69,14.2,,Jay Huff,78,73,84,50,58,34,229,,6-10,PF,"Durham, NC",Virginia
62,63,62,1,NA,NA,,Brendan Bailey,61,,50,54,91,35,214,,6-7,SF,"American Fork, UT",Marquette
63,68,63,5,64,26.2,,Tyler Cook,38,38,99,74,72,72,213,,6-8,PF,"St. Louis, MO",Iowa
64,55,64,-9,62,12.7,,James Banks,59,57,49,83,63,84,211,,6-10,C,"La Porte, IN",Texas
65,58,64,-6,62,8.4,,Brandon Robinson,65,56,56,76,59,83,211,,6-5,SG,"Douglasville, GA",North Carolina
66,52,66,-14,65,10.4,,Derek Funderburk,56,66,53,77,73,73,208,,6-9,PF,"Lakewood, OH",Ohio State
67,59,67,-8,63,8.6,,Jarron Cumberland,72,55,72,61,55,89,202,,6-4,SG,"Wilmington, OH",Cincinnati
68,64,68,-4,70,15.2,,J.J. Caldwell,83,89,55,58,65,70,186,,5-11,PG,"Cypress, TX",Texas A&M
69,57,69,-12,66,19.0,,Trent Forrest,54,45,95,68,69,90,185,,6-3,SG,"Chipley, FL",Florida State
70,49,70,-21,75,9.3,,Vance Jackson,58,78,79,80,78,52,181,,6-8,SF,"Bellflower, CA",Connecticut
71,,71,new,78,6.3,,Markus Howard,84,84,77,73,70,41,177,,5-11,PG,"Henderson, NV",Marquette
72,68,72,-4,NA,NA,,Lauri Markkanen,,,26,,21,,155,,6-11,PF,"Patterson, NJ",Arizona
73,,73,new,NA,NA,,Omer Yurtseven *,,,26,,25,,151,,7-0,C,"Istanbul, Turkey",NC State
74,88,74,14,NA,NA,,DeAndre Hunter,73,72,,60,92,59,149,,6-7,SF,"Philadelphia, PA",Virgina
75,82,75,7,76,8.0,,Jonah Mathews,76,79,62,82,80,80,147,,6-2,SG,"Santa Monica, CA",USC
76,71,76,-5,NA,NA,,Curtis Jones,68,40,,69,85,,142,,6-3,SG-PG,"Huntington, WV",Indiana
77,93,77,16,80,9.7,,Quentin Goodin,88,92,68,75,79,68,136,,6-3,PG-SG,"Campbellsville, KY",Xavier
78,77,78,-1,NA,NA,,Temple Gibbs,80,80,,62,88,66,129,,6-2,PG,"West Orange, NJ",Notre Dame
79,68,79,-11,NA,NA,,Mark Vital,64,70,,78,89,82,122,,6-6,SF,"Lake Charles, LA",Baylor
80,,80,new,NA,NA,,Yoeli Childs,62,53,,71,,,117,,6-7,PF,"South Jordan, UT",BYU
81,74,80,-6,81,4.1,,Romello White,81,77,81,87,77,86,117,,6-8,PF,"Marietta, GA",Arizona State
82,78,80,-2,82,11.6,,Tyree Crump,93,82,93,66,76,79,117,,6-3,SG-PG,"Bainbridge, GA",Georgia
83,86,83,3,NA,NA,,Lamar Peters,85,,73,81,97,55,114,,6-1,PG,"New Orleans, LA",Mississippi State
84,79,84,-5,79,5.2,,Taurean Thompson,75,75,85,84,75,,111,,6-9,C,"Wolfeboro, NH",
85,96,85,11,NA,NA,,Tyson Carter,,,80,70,98,47,109,,6-3,PG,"Starkville, MS",Mississippi State
86,86,86, ,NA,NA,,JaQuori McLaughlin,,,89,72,96,44,103,,6-2,SG,"Gig Harbor, WA",Oregon State
87,89,87,2,NA,NA,,Jared Harper,94,96,,56,93,64,102,,5-11,PG,"Mableton, GA",Auburn
88,,88,new,NA,NA,,Markell Johnson,77,,66,,62,98,101,,6-1,PG,"Cleveland, OH",
89,84,89,-5,NA,NA,,Gavin Baxter,,,69,63,,75,96,,6-7,PF,"Provo, UT",BYU
90,66,90,-24,NA,NA,,M.J. Cage,98,,76,79,100,61,91,,6-9,PF,"Santa Ana, CA",Oregon
91,,91,new,NA,NA,,Eli Wright,,65,78,92,81,,88,,6-4,SG,"Bradenton, FL",Mississippi State
92,76,92,-16,NA,NA,,Justin Jackson,,,36,,83,,83,,6-7,SF,"Henderson, NV",Maryland
93,,93,new,NA,NA,,Bruno Fernando,86,71,,,74,,72,,6-10,C,"Monteverde, FL",SMU
94,65,94,-29,NA,NA,,Jayce Johnson,89,,59,,86,,69,,6-11,C,"Santa Monica, CA",Utah
95,97,94,3,NA,NA,,Sam Hauser,91,86,74,,84,,69,,6-6,SF,"Stevens Point, WI",Marquette
96,85,96,-11,NA,NA,,Chris Lewis,69,68,,,,,65,,6-8,PF,"Alpharetta, GA",Harvard
97,90,97,-7,NA,NA,,Kristian Doolittle,70,69,,,,,63,,6-8,PF,"Edmund, OK",Oklahoma
98,98,98, ,NA,NA,,Jethro Tshisumpa,87,87,,,,71,58,,6-10,C,"Dallas, TX",Arizona State
99,81,99,-18,NA,NA,,Keith Smith,74,,75,99,,,55,,6-7,SF,"Seattle, WA",Oregon
100,80,100,-20,NA,NA,,Abdul Ado,79,76,,94,,,54,,6-11,C,"Chattanooga, TN",Mississippi State
101,83,100,-17,NA,NA,,Myles Powell,92,81,96,,82,100,54,,6-1,PG,"South Kent, CT",Seton Hall
