,,,,,,,Rankings from: May 2015,,,,,,,,,,,* late reclassification - not included in some rankings,
,,,,,,,,,,,,,,,,,,,
Row,Prev,RSCI,Chg,Avg,Dev,,,VC,ESPN,Scout,Rivals,PrepStars,247Sports,Total,,Ht,Pos,City,College
1,1,1, ,2,1.2,,Ben Simmons,1,1,2,2,4,1,595,,6-8,PF,"Melbourne, AUS",LSU
2,7,2,5,2,1.5,,Skal Labissiere,5,2,1,1,1,2,594,,6-11,C,"Cordova, TN",Kentucky
3,2,3,-1,4,1.7,,Jaylen Brown,2,4,4,3,7,5,581,,6-7,WF,"Alpharetta, GA",California
4,18,4,14,5,4.5,,Brandon Ingram,14,3,3,4,2,3,577,,6-8,WF,"Kinston, NC",Duke
5,5,5, ,6,2.9,,Ivan Rabb,4,8,5,7,3,11,568,,6-10,PF,"Oakland, CA",California
6,4,6,-2,8,5.1,,Cheick Diallo,3,7,9,5,17,4,561,,6-9,PF,"Centereach, NY",Kansas
7,6,7,-1,8,4.5,,Diamond Stone,17,6,6,6,5,8,558,,6-10,C,"Milwaukee, WI",Maryland
8,3,8,-5,9,2.2,,Malik Newman,6,10,10,8,12,7,553,,6-3,WG,"Jackson, MS",Mississippi State
9,11,9,2,11,6.3,,Henry Ellenson,11,5,7,11,9,23,540,,6-10,PF,"Rice Lake, WI",Marquette
10,14,10,4,12,3.5,,Stephen Zimmerman,7,12,8,15,14,15,535,,7-0,C,"Las Vegas, NV",UNLV
11,12,11,1,12,2.8,,Isaiah Briscoe,13,13,13,10,8,16,533,,6-3,PG,"Newark, NJ",Kentucky
12,10,12,-2,14,5.2,,Allonzo Trier,10,18,20,12,15,6,525,,6-4,WG,"Rockville, MD",Arizona
13,,13,new,14,2.9,,Derryck Thornton,15,17,11,14,11,18,520,,6-2,PG,"Las Vegas, NV",Duke
14,8,14,-6,16,7.1,,Chase Jeter,8,11,15,16,28,20,508,,6-10,C,"Las Vegas, NV",Duke
15,15,15, ,17,3.3,,Antonio Blakeney,16,15,21,13,20,14,507,,6-4,WG,"Orlando, FL",LSU
16,9,16,-7,17,8.3,,Caleb Swanigan,9,9,14,19,19,31,505,,6-8,C,"Fort Wayne, IN",Purdue
17,22,16,6,17,6.2,,Dwayne Bacon,12,14,19,22,25,9,505,,6-6,WG,"Mouth of Wilson, VA",Florida State
18,13,18,-5,18,6.9,,Ray Smith,22,29,16,17,10,12,500,,6-7,WF,"Las Vegas, NV",Arizona
19,17,19,-2,21,5.4,,Jalen Brunson,19,16,26,20,16,29,480,,6-2,PG,"Lincolnshire, IL",Villanova
20,27,20,7,22,9.1,,Jalen Adams,30,25,18,23,6,30,474,,6-2,PG,"Ashburnham, MA",Connecticut
21,21,21, ,25,4.8,,Luke Kennard,34,24,22,25,22,21,458,,6-5,WG,"Franklin, OH",Duke
22,15,22,-7,25,5.2,,Carlton Bragg,24,21,35,21,26,25,454,,6-8,PF,"Cleveland, OH",Kansas
23,25,23,2,28,10.4,,Tyler Dorsey,18,38,43,18,27,24,438,,6-4,PG,"Pasadena, CA",Oregon
24,24,24, ,29,9.7,,Perry Dozier,25,19,25,37,44,22,434,,6-5,WG,"Columbia, SC",South Carolina
25,28,25,3,29,18.9,,Thomas Bryant,20,20,28,27,66,13,432,,6-10,C,"Huntington, WV",Indiana
26,26,26, ,29,4.6,,Deyonta Davis,29,22,34,26,32,33,430,,6-8,C,"Muskegon, MI",Michigan State
27,20,27,-7,31,5.9,,Jawun Evans,32,33,32,36,31,19,423,,6-0,PG,"Dallas, TX",Oklahoma State
28,29,27,2,31,13.0,,Donovan Mitchell,44,43,17,31,13,35,423,,6-3,WG,"Wolfeboro, NH",Louisville
29,31,29,2,33,9.4,,Malachi Richardson,28,23,29,35,30,50,411,,6-6,WF,"Trenton, NJ",Syracuse
30,19,30,-11,33,11.1,,Justin Simon,37,37,27,24,21,51,409,,6-4,PG,"Temecula, CA",Arizona
31,33,31,2,34,8.8,,DJ Hogg,42,35,38,38,33,17,403,,6-8,PF,"Plano, TX",Texas A&M
32,35,32,3,34,9.4,,Dedric Lawson,21,26,45,33,43,37,401,,6-8,PF,"Memphis, TN",Memphis
33,30,33,-3,36,11.5,,Tyler Davis,27,27,33,28,55,44,392,,6-9,C,"Plano, TX",Texas A&M
34,32,34,-2,36,9.3,,Deng Adel ,31,32,23,47,46,38,389,,6-7,WF,"Bradenton, FL",Louisville
35,52,35,17,38,10.0,,Chimezie Metu,52,40,30,41,23,39,381,,6-8,PF,"Lawndale, CA",USC
36,36,36, ,39,13.8,,Prince Ali,43,41,41,30,18,59,374,,6-4,WF,"Fort Lauderdale, FL",UCLA
