,,,,,Rankings from: June 2005,,,,,,,,,,,* - denotes 5th or prep school player,
,,,,,,,!,!,!,!,!,,,,,! - updated rankings,
RSCI,Chg,Avg,Dev,,,5yr,PS,HS,RC,HM,DT,Total,,Ht,Pos,City,College
1,1,2,0.7,,Josh McRoberts,,3,2,2,2,1,495,,6-9,PF,"Carmel, IN",Duke
2,3,3,0.9,,Monta Ellis,,5,3,3,3,3,488,,6-3,WG,"Jackson, MS",NBA
3,4,5,2.4,,Martell Webster,,6,1,7,6,4,481,,6-6,WG,"Seattle, WA",NBA
4, ,6,3.0,,Tyler Hansbrough,,2,4,10,5,7,477,,6-9,PF,"Poplar Bluff, MO",North Carolina
5,-4,6,1.0,,Louis Williams,,7,6,5,7,5,475,,6-2,PG,"Snellville, GA",NBA
6, ,8,0.4,,Julian Wright,,8,7,8,8,8,466,,6-8,WF,"Flossmoor, IL",Kansas
7,-4,11,2.5,,Richard Hendrix,,15,9,9,10,11,451,,6-8,PF,"Athens, AL",Alabama
8, ,13,5.8,,Tasmin Mitchell,,11,5,20,17,12,440,,6-6,WF,"Denham Springs, LA",LSU
8,3,13,3.8,,Mario Chalmers,,9,14,12,11,19,440,,6-2,PG,"Anchorage, AK",Kansas
10,9,13,10.6,,Andrew Bynum,,10,32,6,9,9,439,,6-11,C,"Metuchen, NJ",NBA
11,-1,14,2.7,,Keith Brumbaugh,,17,10,14,16,14,434,,6-9,WF-PF,"Deland, FL",Oklahoma State
12,1,16,6.8,,C.J. Miles,,14,27,19,12,10,423,,6-6,WG,"Dallas, TX",NBA
13,8,17,3.5,,Greg Paulus,,18,18,11,20,18,420,,6-2,PG,"Syracuse, NY",Duke
14, ,18,7.5,,Amir Johnson,,16,11,29,23,13,413,,6-9,C,"Los Angeles, CA",NBA
15,27,21,6.8,,Danny Green,,19,13,31,18,24,400,,6-5,WF,"Manhassett, NY",North Carolina
16,7,NA,NA,,Gerald Green,*,1,,1,1,2,399,,6-7,WF,"Houston, TX",NBA
17,-5,22,14.2,,Jon Brockman,,21,12,47,15,16,394,,6-8,PF,"Snohomish, WA",Washington
18,18,NA,NA,,Andray Blatche,*,4,,4,4,6,386,,6-11,PF,"Syracuse, NY",NBA
19,3,24,3.8,,Brandon Costner,,23,25,30,22,20,385,,6-9,PF,"West Orange, NJ",NC State
20,-1,24,7.5,,Byron Eaton,,24,37,17,21,23,383,,6-0,PG,"Dallas, TX",Oklahoma State
21,-6,26,4.6,,Micah Downs,,22,33,28,27,22,373,,6-8,WF,"Bothell, WA",Kansas
22,-13,28,12.1,,Eric Devendorf,,20,15,46,33,26,365,,6-3,WG,"Bay City, MI",Syracuse
23,-5,NA,NA,,Brandon Rush,*,13,,13,13,15,350,,6-7,WF,"Durham, NC",Kansas
24,-8,31,8.3,,Korvotney Barber,,36,20,42,29,29,349,,6-8,PF,"Manchester, GA",Auburn
25,8,32,10.9,,Lewis Clinch,,41,43,32,25,17,347,,6-2,WG,"Cordele, GA",Georgia Tech
26,1,33,16.1,,Jamont Gordon,,50,49,16,19,32,339,,6-4,WG,"Mouth of Wilson, VA",Mississippi State
27,31,NA,NA,,Shawne Williams,*,12,,15,14,25,338,,6-8,PF,"Laurinburg, NC",Memphis
28,16,35,13.1,,Joe Krabbenhoft,,55,40,23,24,35,328,,6-7,WF,"Sioux Falls, SD",Wisconsin
29,2,37,10.5,,Marcus Ginyard,,33,23,38,38,52,321,,6-5,WG,"Arlington, VA",North Carolina
30,2,37,22.3,,Marcus Williams,,31,19,76,28,31,320,,6-6,WF,"Seattle, WA",Arizona
31,-14,37,9.4,,Bobby Frasor,,34,26,51,34,41,319,,6-3,WG-PG,"Chicago, IL",North Carolina
32,3,40,16.8,,J.P. Prince,,59,57,21,32,33,303,,6-6,PG,"Memphis, TN",Arizona
33,18,41,20.0,,Magnum Rolle,,63,50,18,51,21,302,,6-11,PF,"Freeport, Bahamas",LSU
34,-9,41,21.5,,Luke Zeller,,35,28,79,35,28,300,,6-11,C,"Washington, IN",Notre Dame
