RSCI,Chg,Avg,Dev,,Player,ESPN,Rivals/On3,247Sports,Total,,Ht,Pos,City,College
62,22,65,3.2,,Tristan Reed,67,66,61,109,,6-9,C,"Branson, MO",Mississippi State
63,7,65,16.8,,Darius Bivins,46,71,78,108,,5-11,PG,"Alexandria, VA",Saint Mary's
64,7,68,3.6,,Sinan Huan,72,67,65,99,,7-0,C,"Rockville, MD",Purdue
65,-3,69,1.7,,Aziz Olajuwon,68,68,71,96,,6-7,SF,"Bradenton, FL",Stanford
66,-3,69,26.1,,Josh Irving,99,50,59,95,,6-10,C,"Pasadena, CA",Texas A&M
67,-10,70,8.9,,Ralph Scott,63,80,67,93,,6-7,SF,"Bradenton, FL",Tennessee
68,-7,70,5.9,,Aiden Derkack,66,77,68,92,,6-6,SG,"Geneva, OH",Dayton
69,4,71,22.5,,Ethan Mgbako,96,52,66,89,,6-6,SF,"Mouth Of Wilson, VA",Vanderbilt
69,-22,NA,NA,,Marcus Johnson,57,,56,89,,6-2,PG,"Cleveland, OH",South Carolina
71,-17,72,12.1,,Kayden Allen,83,59,73,88,,6-5,SF,"Zephyrhills, FL",Georgia Tech
72,new,72,4.9,,Trevor Manhertz,70,78,69,86,,6-7,PF,"Arden, NC",Indiana
72,-6,NA,NA,,Katrelle Harmon,61,,55,86,,6-3,CG,"Mount Pleasant, UT",Creighton
74,-6,73,15.9,,Jonathan Sanderson,69,91,60,83,,6-2,PG,"La Porte, IN",Notre Dame
75,12,NA,NA,,Collin Ross,,60,62,80,,6-9,PF,"Geneva, OH",VCU
76,-4,75,9.8,,Anthony Brown,81,64,81,77,,6-1,PG,"Washington, DC",Vanderbilt
77,8,77,12.7,,Dean Rueckert,84,62,84,73,,6-8,SF,"Provo, UT",BYU
78,-27,79,11.8,,Gavin Placide,93,73,72,65,,6-9,PF,"Dallas, TX",Wake Forest
78,new,NA,NA,,Josiah Johnson,80,,57,65,,6-3,PG,"Lakewood, CA",
80,-16,81,4.2,,Gage Mayfield,76,84,82,61,,6-7,PF,"Moundville, AL",Oklahoma
80,new,81,16.9,,Martay Barnes,62,85,95,61,,6-2,SG,"Melbourne, FL",Florida State
82,1,82,17.5,,Colin Rice,97,63,87,56,,6-7,SF,"Waukee, IA",Nebraska
83,-3,83,11.3,,Jayden Hodge,90,70,89,54,,6-6,SF,"Montverde, FL",Northwestern
84,-7,NA,NA,,Alex Egbuonu,74,,79,49,,6-6,SF,"Groton, MA",Marquette
85,-4,86,6.2,,Julius Avent,91,79,88,45,,6-8,PF,"Oradell, NJ",Michigan State
