,,13-Jun-99,,,,,,,,,,,* denotes 5th yr or prep school player,
RSCI,Chg,,HS,PS,AS,RU,IR,FC,RB,Total,Ht,Pos,City,College
62,-2,Kirk Hinrich,41,82,48,91,49,66,,229,6-3,PG,"Sioux City, IA",Kansas
63,-1,Curtis Borchardt,55,78,50,,35,81,82,225,6-11,PF,"Redmond, WA",Stanford
64,,Stephane Pelle,95,67,26,79,45,80,97,218,6-9,PF,"Mercersburg, PA",Colorado
65,-2,Brian Woodward,70,77,71,43,77,77,78,214,6-2,2G,"Bayside, NY",Rhode Island
66,-1,Erwin Dudley,65,99,51,,61,50,71,209,6-7,PF,"Uniontown, AL",Alabama
67,,Douglas Wrenn*,,37,,30,,,29,207,6-7,WF,"Milford, CT",Connecticut
68,2,Aloysius Anagoyne,36,,65,59,64,93,86,203,6-8,PF,"Detroit, MI",Michigan State
69,2,Ronald Dupree,85,,36,58,38,,89,199,6-6,WF,"Biloxi, MS",LSU
70,2,Ronald Blackshear*,,32,,39,,,38,194,6-4,2G,"Chatham, VA",Clemson
71,8,Brian Jackson,100,74,46,,53,73,69,191,6-10,C,"Astoria, OR",Oregon State
72,-3,George Leach,48,92,,83,68,64,62,189,6-11,C,"Charlotte, NC",Indiana
73,4,Justin Davis,80,63,75,60,43,,,184,6-8,PF,"Alameda, CA",California
74,-1,Courtland Freeman,,76,95,75,85,45,53,177,6-8,PF,"Myrtle Beach, SC",Georgetown
75,-10,Tahj Holden,,,53,78,66,60,90,158,6-10,PF,"Little Silver, NJ",Maryland
75,-1,Richard Wright,77,85,72,90,78,67,80,158,6-6,PF,"East Chicago, IN",Villanova
77,4,Rodney White*,,75,,87,,42,48,152,6-8,PF,"Kensington, MD",UNC-Charlotte
78,-3,John Oden,58,96,90,89,54,76,,143,6-8,PF,"Phoenix, AZ",DePaul
79,-1,Jamario Moon,,55,,71,,68,72,138,6-7,WF,"Rockford, AL",Mississippi St.
79,-3,Ray Henderson,74,81,,,,55,56,138,6-9,C,"Charlotte, NC",Clemson
81,4,Clifford Crawford,52,48,77,,95,,,132,6-3,PG,"Winston-Salem, NC",NC State
82,,Carlton Baker,44,,,33,,,,125,6-4,,"East Chicago, IN",Barton Co. JC
82,-2,Jon Higgins,61,,63,,76,,79,125,6-2,PG,"Shaker Heights, OH",Tennessee
84,3,Marquis Daniels,,66,,63,,88,65,122,6-7,WF,"Durham, NC",Auburn
85,-2,Shawnson Johnson,,68,,73,87,72,94,111,6-8,PF,"Shreveport, LA",Lee (TX) JC
85,-1,Zachery Johnson,,93,,,,38,61,111,6-9,C,"Shreveport, LA",Louisiana Tech
87,1,John Stewart,,46,69,,,79,,109,7-0,C,"Indianapolis, IN",deceased
88,-2,Adam Wolfe,,,43,,51,,,108,6-9,PF,"Westerville, OH",Michigan State
89,,Marque Perry,81,,87,,88,52,,96,6-0,PG,"Chicago, IL",St. Louis
89,,Nathan Hair,,,37,,69,,,96,6-3,2G,"Mission Viejo, CA",Southern Cal
91,,Jarrett Hart,47,,91,,100,,74,92,6-4,2G,"Little Rock, AR",Oklahoma
92,6,Marquis Estill,64,90,80,,83,,,87,6-9,PF,"Richmond, KY",Kentucky
92,-1,Julian Swartz,,65,97,,65,90,,87,6-6,WF,"Waukesha, WI",Wisconsin
94,,Rafael Berumen,92,,88,48,90,,,86,6-9,PF,"Simi Valley, CA",New Mexico
95,new,Chris Monroe,,61,,,,74,84,84,6-3,WF-PF,"Wheaton, MD",Geo. Wash.
96,-1,Derrick Zimmerman,94,,,31,,96,,82,6-3,2G,"Monroe, LA",Mississippi St.
97,-6,Wesley Wilson*,,54,,100,,,70,79,6-11,C,"Pittsfield, ME",Georgetown
98,-2,Demetrius Hunter,,,74,72,79,,,78,6-1,PG,"Las Vegas, NV",Georgetown
99,,Gregory Morton,76,,82,,74,98,99,76,6-8,PF,"Bronx, NY",Seton Hall
99,-3,Gilbert Arenas,,70,93,65,100,,,76,6-3,2G,"Van Nuys, CA",Arizona
