RSCI,Chg,Avg,Dev,,,VC,ESPN,Rivals,247Sports,Total,,Ht,Pos,City,College
58,2,63,5.6,,Julian Strawther,67,59,57,68,153,,"6’8""",SF,"Henderson, NV",Gonzaga
59,-9,64,7.3,,Donovan Johnson,74,57,61,62,150,,"6’7""",SF,"Phoenix, AZ",North Carolina
60,3,NA,NA,,Ian Martinez,45,,64,59,135,,"6’4""",SG,"San Juan Capistrano, CA",Utah
61,-5,68,14.2,,Xavier Foster,55,64,63,88,134,,"6’11""",C,"Oskaloosa, IA",Iowa State
62,16,68,24.9,,K.K. Robinson,94,79,62,36,133,,"6’0""",PG,"Little Rock, AR",Arkansas
63,13,NA,NA,,Karim Mane,51,,,26,125,,"6'4""",CG,"Montreal, Canada",
64,-3,71,9.4,,Hassan Diarra,62,67,71,84,120,,"6’3""",CG,"Putnam, CT",Texas A&M
64,-5,71,10,,Dominick Harris,77,56,75,76,120,,"6’2""",PG,"Temecula, CA",Gonzaga
66,-28,71,9.9,,Corey Walker Jr.,61,77,65,82,119,,"6’6""",SF,"Chatham, VA",Tennessee
67,new,73,9,,Cam Hayes,85,65,73,67,114,,"6'1""",PG,"Greensboro, NC",NC State
68,new,73,2.8,,Mwani Wilkinson,76,71,70,74,113,,"6’6""",SF,"Las Vegas, NV",LSU
69,new,74,14.6,,Adama Sanogo,70,55,80,89,110,,"6'9""",PF,"Elizabeth, NJ",Connecticut
70,-1,74,10.5,,A.J. Hoggard,78,61,72,86,107,,"6’4""",SG,"Huntington, WV",Michigan State
70,-21,NA,NA,,Dain Dainja,57,49,,90,107,,"6’8""",PF,"Brooklyn Park, MN",Baylor
72,-8,75,7.8,,Isaiah Cottrell,71,72,86,69,106,,"6’10""",PF,"Huntington, WV",West Virginia
73,-21,76,8.5,,Jalen Terry,81,85,66,73,99,,"5’11""",PG,"Flint, MI",Oregon
74,-16,NA,NA,,Joe Bamisile,54,75,78,,96,,"6’5""",SG,"Chesterfield, VA",Virginia Tech
75,-8,78,6.1,,Tramon Mark,82,69,81,80,92,,"6’3""",SG,"Dickinson, TX",Houston
76,-1,NA,NA,,Rondel Walker,59,52,,,91,,"6’2""",CG,"Oklahoma City, OK",Oklahoma State
77,5,NA,NA,,Caleb Murphy,83,73,60,,87,,"6'3""",SG,"Grayson, GA",South Florida
77,-21,79,17,,Zeb Jackson,58,74,88,97,87,,"6’3""",PG,"Montverde, FL",Michigan
79,-9,80,15.9,,Jaylin Williams,84,91,56,87,86,,"6’9""",PF,"Fort Smith, AR",Arkansas
80,new,NA,NA,,Josh Primo,,,,19,82,,"6'6""",SG-PG,"Toronto, ON",Alabama
81,new,NA,NA,,Khristian Lander,,,24,,77,,"6'2""",PG,"Evansville, IN",Indiana
82,new,NA,NA,,Jaxon Robinson,,,58,71,73,,"6'5""",SF,"Ada, OK",Texas A&M
83,-9,NA,NA,,L.J. Cryer,68,63,100,,72,,"6’4""",CG,"Katy, TX",Baylor
84,-19,NA,NA,,Jaylen Clark,88,,74,72,69,,"6’5""",SF,"Corona, CA",UCLA
85,-15,NA,NA,,Ethan Morton,72,80,85,,66,,"6’4""",CG,"Butler, PA",Purdue
86,new,86,13.3,,K.D. Johnson,79,70,98,95,62,,"6'2""",PG,"Chatham, VA",Georgia
87,-7,NA,NA,,Jaden Ivey,,81,76,85,61,,"6'3""",SG,"Mishawaka, IN",Purdue
87,-15,NA,NA,,Justin Lewis,73,68,,,61,,"6’8""",PF,"Baltimore, MD",Marquette
89,new,NA,NA,,Kadary Richmond,,88,82,78,55,,"6'4""",SG,"Brooklyn, NY",Syracuse
90,-7,88,7.9,,Matt Cross,92,83,96,79,54,,"6’8""",PF,"Wolfeboro, NH",Miami
91,new,NA,NA,,Bennedict Mathurin,,,,48,53,,"6'6""",SF,Mexico,Arizona
92,-1,NA,NA,,Chibuzo Agbo,,,84,66,52,,"6'7""",PF,"San Diego, CA",Texas Tech
93,new,NA,NA,,Tari Eason,,,54,,47,,"6'8""",PF,"Federal Way, WA",Cincinnati
94,-2,NA,NA,,Matthew Alexander-Moncrieffe,,,,56,45,,"6'7""",SF,"Mono, Canada",Oklahoma State
95,-23,NA,NA,,Terrance Williams,75,84,,,43,,"6’5""",CF,"Washington, DC",Michigan
96,new,NA,NA,,Kerr Kriisa,,,,61,40,,"6'1""",PG,Estonia,Arizona
97,new,NA,NA,,Rati Andronikashvili,,,,64,37,,"6'4""",PG,Georgia,Creighton
98,new,NA,NA,,Myles Tate,66,,,,35,,"6'0""",PG,"Spartanburg, SC",Butler
99,-11,NA,NA,,Osasere Ighodaro,,,99,70,33,,"6'9""",PF,"Phoenix, AZ",Marquette
100,-2,NA,NA,,John Hugley,,94,77,,31,,"6'8""",C,"Cleveland, OH",Pittsburgh
