,,,,,Rankings from: July 2008,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,!,!,!,!,!,!,!,,,,,! - updated rankings,
RSCI,Chg,Avg,Dev,,,5yr,HS,RC,HM,DT,PS,RH,SI,Total,,Ht,Pos,City,College
1,7,2,1.3,,Brandon Jennings,,1,4,1,1,1,1,1,697,,6-1,PG,"Mouth of Wilson, VA",Europe
2,2,3,0.8,,Jrue Holiday,,3,2,3,4,4,3,4,684,,6-3,WG,"N Hollywood, CA",UCLA
3,-2,4,1.8,,Tyreke Evans,,2,6,4,5,2,4,3,681,,6-4,WG,"Aston, PA",Memphis
4,-1,4,2.9,,Samardo Samuels,,4,9,2,2,3,6,2,679,,6-8,C,"Newark, NJ",Louisville
5,1,6,1.6,,Demar DeRozan,,7,3,7,6,6,2,8,668,,6-6,WF,"Compton, CA",USC
6,-4,7,2.2,,Greg Monroe,,10,8,5,8,5,8,20,643,,6-10,PF,"Harvey, LA",Georgetown
7, ,9,2.8,,Al-Farouq Aminu,,6,7,8,13,10,7,17,639,,6-8,PF,"Norcross, GA",Wake Forest
8,-3,12,13.1,,B.J. Mullens,,34,1,12,3,11,5,5,636,,7-0,C,"Canal Winchester, OH",Ohio State
9,1,11,4.4,,Ed Davis,,16,15,6,10,8,13,11,628,,6-8,PF,"Richmond, VA",North Carolina
10,-1,13,6.4,,Delvon Roe,,9,24,10,11,9,14,15,615,,6-8,PF,"Lakewood, OH",Michigan State
11, ,15,8.4,,Scotty Hopson,,25,5,18,7,18,11,9,614,,6-5,WF,"Hopkinsville, KY",Tennessee
12,4,14,3.6,,William Buford,,12,19,9,14,14,15,12,612,,6-4,WG,"Toledo, OH",Ohio State
13,7,13,5.4,,Willie Warren,,5,10,14,19,16,26,10,607,,6-4,WG,"Forth Worth, TX",Oklahoma
14,14,16,3.3,,Chris Singleton,,21,12,17,15,17,9,25,591,,6-8,PF,"Canton, GA",Florida State
15,-1,17,1.9,,Elliot Williams,,20,16,16,16,15,21,18,585,,6-4,WG,"Collierville, TN",Duke
15,4,18,7.5,,Kemba Walker,,13,14,29,12,23,17,14,585,,6-1,PG,"New York, NY",Connecticut
17,-2,19,4.3,,JaMychal Green,,11,21,20,20,21,29,6,579,,6-8,PF,"Montgomery, AL",Alabama
18,-1,20,8.2,,Tyler Zeller,,17,33,15,21,12,28,7,574,,6-11,C,"Washington, IN",North Carolina
19,-1,26,3.2,,Luke Babbitt,,26,31,23,24,24,19,13,547,,6-8,PF,"Reno, NV",Nevada
20,2,28,15.9,,Malcolm Lee,,8,48,19,39,26,16,31,520,,6-4,PG,"Riverside, CA",UCLA
21,41,28,11.3,,DeQuan Jones,,31,23,47,22,19,25,28,512,,6-5,WF,"Marietta, GA",Miami (FL)
22,-10,27,9.7,,Iman Shumpert,,35,39,21,18,20,30,38,506,,6-4,WG,"Oak Park, IL",Georgia Tech
22,1,27,6.7,,Michael Dunigan,,18,32,24,26,35,44,22,506,,6-9,C,"Chicago, IL",Oregon
24,3,33,9.2,,Howard Thompkins,,49,30,27,27,31,31,21,491,,6-8,PF,"Norcross, GA",Georgia
25,1,34,9.0,,J'Mison Morgan,,40,25,39,23,42,23,26,489,,6-9,C,"Dallas, TX",UCLA
