,,,,,,,Rankings from: May 2013,,,,,,,,,,,,
,,,,,,,,*,*,*,*,*,*,,,,,* = updated rankings,
Row,Prev,RSCI,Chg,Avg,Dev,,,VC,ESPN,Scout,Rivals,PrepStars,247Sports,Total,,Ht,Pos,City,College
1,,1,new,1,0.0,,Andrew Wiggins,1,1,1,1,1,1,600,,6-8,WF,"Thornhill, Ont, Canada",Kansas
2,3,2,1,3,1.2,,Julius Randle,3,3,2,2,5,2,589,,6-9,PF,"Plano, TX",Kentucky
3,1,3,-2,3,1.6,,Jabari Parker,2,2,3,4,2,6,587,,6-8,WF,"Chicago, IL",Duke
4,5,4,1,4,1.0,,Aaron Gordon,4,4,4,3,6,4,581,,6-8,PF-WF,"San Jose, CA",Arizona
5,2,5,-3,5,0.8,,Andrew Harrison,5,5,5,5,4,3,579,,6-5,PG,"Fort Bend, TX",Kentucky
6,4,6,-2,6,2.0,,Aaron Harrison,6,9,6,7,3,5,570,,6-5,WG,"Fort Bend, TX",Kentucky
7,7,7, ,9,2.4,,Chris Walker,11,12,8,6,10,7,552,,6-9,PF,"Binofay, FL",Florida
8,,8,new,10,3.4,,Noah Vonleh,7,13,7,8,8,15,548,,6-8,PF,"Haverhill, MA",Indiana
9,,9,new,10,3.6,,Dakari Johnson,9,7,17,9,9,8,547,,6-11,C,"Brooklyn, NY",Kentucky
10,7,9,-2,10,1.5,,James Young,8,8,11,11,11,10,547,,6-6,WF-WG,"Troy, MI",Kentucky
11,6,11,-5,10,1.1,,Kasey Hill,10,10,9,10,12,9,546,,6-0,PG,"Clermont, FL",Florida
12,10,12,-2,12,1.2,,Jarell Martin,12,11,14,13,13,11,532,,6-7,PF,"Baton Rouge, LA",LSU
13,15,13,2,13,1.3,,Wayne Selden,13,14,12,12,15,12,528,,6-4,WF-WG,"Boston, MA",Kansas
14,11,14,-3,18,3.7,,Bobby Portis,16,16,16,15,18,25,500,,6-9,PF,"Little Rock, AR",Arkansas
15,12,14,-2,18,1.0,,Isaiah Hicks,18,18,18,16,17,19,500,,6-8,PF,"Oxford, NC",North Carolina
16,18,16,2,18,5.7,,Rondae Hollis-Jefferson,14,21,10,21,26,18,496,,6-7,WF,"Chester, PA",Arizona
17,,16,new,18,8.4,,Joel Embiid,15,6,23,25,28,13,496,,7-0,C,"Montverde, FL",Kansas
18,24,18,6,20,4.0,,Marcus Lee,21,25,24,19,19,14,484,,6-9,PF-C,"Antioch, CA",Kentucky
19,14,19,-5,21,9.9,,Isaac Hamilton,23,32,31,14,7,16,483,,6-5,WG,"Los Angeles, CA",UTEP
20,23,20,3,24,9.2,,Austin Nichols,32,15,36,17,16,29,461,,6-8,PF,"Eads, TN",Memphis
21,16,20,-4,24,7.9,,Jabari Bird,17,23,13,32,32,28,461,,6-6,WG,"Richmond, CA",California
22,19,22,-3,25,4.4,,Robert Hubbs,31,29,20,23,24,21,458,,6-5,WG,"Newbern, TN",Tennessee
23,22,23,-1,25,6.6,,Tyler Ennis,29,20,22,22,21,37,455,,6-2,PG,"Brampton, Ont., Canada",Syracuse
24,9,24,-15,26,7.3,,Anthony Barber,20,26,21,27,23,40,449,,6-2,PG,"Hampton, VA",NC State
25,12,25,-13,27,5.7,,Jermaine Lawrence,24,35,19,26,31,24,447,,6-8,PF,"Springfield Gardens, NY",Cincinnati
26,41,26,15,30,14.9,,Rysheed Jordan,22,17,45,20,22,52,428,,6-3,PG,"Philadelphia, PA",St. John's
27,17,27,-10,30,11.5,,Keith Frazier,36,49,33,18,20,26,424,,6-5,WG,"Dallas, TX",SMU
28,53,27,26,30,11.6,,Nigel Williams-Goss,19,19,50,33,27,34,424,,6-3,PG,"Henderson, NV",Washington
29,29,29, ,32,14.2,,Zak Irvin,44,22,51,24,14,35,416,,6-6,WF,"Fishers, IN",Michigan
30,21,30,-9,33,10.3,,Kuran Iverson,27,33,53,28,25,32,408,,6-8,WF-PF,"Windsor, CT",Memphis
31,57,30,27,33,6.4,,JaJuan Johnson,25,27,32,35,37,42,408,,6-5,WG,"Memphis, TN",Marquette
32,28,32,-4,33,7.8,,Semi Ojeleye,38,40,26,31,42,23,406,,6-6,WF,"Ottawa, KS",Duke
33,26,33,-7,34,9.3,,Demetrius Jackson,26,24,29,38,36,49,404,,6-1,PG,"Mishawaka, IN",Notre Dame
34,20,34,-14,35,8.7,,Matt Jones,30,36,25,36,30,50,399,,6-4,WG,"DeSoto, TX",Duke
35,33,34,-1,35,7.8,,Sindarius Thornwell,33,41,30,43,38,22,399,,6-5,WG,"Lancaster, SC",South Carolina
36,25,36,-11,37,7.9,,Brannen Greene,42,47,41,29,34,27,386,,6-6,WF-WG,"Monroe, GA",Kansas
37,43,37,6,38,9.5,,Tyler Roberson,28,31,55,39,35,39,379,,6-7,PF,"Union, NJ",Syracuse
38,35,38,-3,39,5.3,,Jordan Mickey,41,38,37,41,47,31,371,,6-8,PF,"Arlington, TX",LSU
39,85,39,46,40,9.3,,Eric Mika,37,28,38,49,52,33,369,,6-9,C,"Highland, UT",BYU
40,32,40,-8,43,7.7,,Conner Frankamp,53,46,46,34,33,43,351,,6-0,PG,"Wichita, KS",Kansas
41,27,40,-13,43,11.3,,Nick King,34,37,28,46,55,55,351,,6-6,WF,"Memphis, TN",Memphis
42,38,42,-4,43,7.6,,Johnathan Williams III,35,54,34,42,43,48,350,,6-9,PF,"Memphis, TN",Missouri
43,30,43,-13,44,10.3,,Xavier Rathan-Mayes,43,44,42,30,41,62,344,,6-3,WG,"Scarborough, Ont., Canada",Florida State
44,45,44,1,45,13.0,,Derrick Walton,51,30,43,37,39,67,339,,6-0,PG,"Detroit, MI",Michigan
45,37,45,-8,45,13.1,,Christian Wood,39,71,35,40,40,44,337,,6-9,PF,"Palmdale, CA",UNLV
46,49,46,3,45,13.2,,Roddy Peters,58,52,44,48,50,20,334,,6-4,PG,"District Heights, MD",Maryland
47,54,47,7,47,12.5,,Moses Kingsley,48,43,40,63,60,30,322,,6-9,C,"New Albany, MS",Arkansas
48,58,48,10,48,5.6,,Brandon Austin,50,56,39,45,48,47,321,,6-6,WF,"Philadelphia, PA",Providence
49,39,49,-10,49,17.6,,Zach LaVine,49,50,27,44,45,81,310,,6-3,PG,"Bothell, WA",UCLA
50,44,50,-6,51,4.4,,Anton Gill,47,48,48,50,57,56,300,,6-3,WG,"Raleigh, NC",Louisville
51,34,51,-17,51,10.1,,Troy Williams,52,54,67,47,51,36,299,,6-7,WF,"Hampton, VA",Indiana
52,48,52,-4,55,8.2,,Matt Thomas,46,51,58,54,49,69,279,,6-3,WG,"Onalaska, WI",Iowa State
53,,53,new,NA,NA,,Terry Rozier,65,,15,,29,17,278,,6-1,PG,"Chatham, VA",Louisville
54,52,54,-2,55,13.1,,Deonte Burton,54,39,54,52,79,51,277,,6-4,WF,"Milwaukee, WI",Marquette
55,78,55,23,55,13.3,,Devin Williams,40,42,57,64,75,54,274,,6-8,PF,"Cincinnati, OH",West Virginia
56,30,56,-26,57,7.4,,Kennedy Meeks,45,59,68,57,54,57,266,,6-9,C,"Charlotte, NC",North Carolina
57,51,57,-6,58,3.5,,Kendrick Nunn,55,61,52,60,59,60,259,,6-1,WG,"Chicago, IL",Illinois
58,36,58,-22,61,3.9,,Ishmail Wainright,63,60,62,55,66,58,242,,6-6,WF,"Raytown, MO",Baylor
59,60,59,1,62,8.3,,Duane Wilson,61,53,71,51,67,68,235,,6-3,PG,"Milwaukee, WI",Marquette
60,64,60,4,65,9.9,,John Egbunu,57,64,56,83,68,61,217,,6-11,C,"McDonough, GA",South Florida
61,55,61,-6,66,16.8,,Stanford Robinson,56,99,59,56,58,70,208,,6-4,WG,"Fairfax, VA",Indiana
62,49,62,-13,67,15.3,,Allerik Freeman,59,72,61,81,44,85,204,,6-3,WG,"Henderson, NV",Baylor
63,63,63, ,67,5.8,,Kendall Stephens,69,65,66,61,65,78,202,,6-5,WG,"Saint Charles, IL",Purdue
64,40,64,-24,NA,NA,,BeeJay Anya,64,67,60,58,56,,200,,6-9,C,"Gaithersburg, MD",NC State
65,42,64,-22,68,10.0,,Karviar Shepherd,62,77,69,65,53,80,200,,6-9,C,"Dallas, TX",TCU
66,56,66,-10,69,5.8,,Marc Loving,74,62,63,67,71,76,193,,6-8,WF,"Toledo, OH",Ohio State
67,62,67,-5,69,4.8,,Jimmie Taylor,68,69,70,69,62,77,191,,6-10,C,"Greensboro, AL",Alabama
68,85,68,17,NA,NA,,Detrick Mostella,81,,84,53,70,45,172,,6-2,WG,"Decatur, AL",Oklahoma State
69,69,69, ,74,19.3,,Nick Emery,60,45,78,89,98,72,164,,6-2,PG,"Highland, UT",BYU
70,66,70,-4,NA,NA,,Malcolm Hill,75,66,72,62,69,,161,,6-5,WG,"Belleville, IL",Illinois
71,,71,new,NA,NA,,Luke Fischer,67,34,79,94,78,,153,,6-10,C-PF,"Germantown, WI",Indiana
72,66,72,-6,NA,NA,,Stevie Clark,70,68,73,70,76,,148,,5-10,PG,"Oklahoma City, OK",Oklahoma State
73,,73,new,NA,NA,,Jordan Bell,82,78,,68,73,64,140,,6-7,PF-WF,"Long Beach, CA",Oregon
74,70,74,-4,78,3.8,,Tim Quarterman,78,80,80,71,82,79,136,,6-5,PG,"Savannah, GA",LSU
75,83,75,8,NA,NA,,Reggie Cameron,72,63,,88,61,88,133,,6-7,PF,"Paterson, NJ",Georgetown
76,73,76,-3,NA,NA,,Kameron Williams,66,58,87,79,,84,131,,6-2,WG,"Baltimore, MD",Ohio State
77,87,77,10,80,13.0,,V.J. Beachem,73,70,65,86,86,100,126,,6-6,WF,"New Haven, IN",Notre Dame
78,68,78,-10,NA,NA,,Kris Jenkins,86,73,74,74,77,,121,,6-5,PF,"Washington, DC",Villanova
79,82,79,3,NA,NA,,Bronson Koenig,,,,73,46,66,118,,6-2,PG,"La Crosse, WI",Wisconsin
80,73,80,-7,NA,NA,,Mamadou Ndiaye,90,74,,85,,38,117,,7-5,C,"Huntington Beach, CA",UC Irvine
81,88,81,7,NA,NA,,Markel Crawford,,,,59,64,71,109,,6-5,,"Memphis, TN",Memphis
82,84,82,2,NA,NA,,Damian Jones,91,81,,77,89,63,104,,6-9,PF,"Baton Rouge, LA",Vanderbilt
83,46,83,-37,84,9.9,,Dominic Woodson,88,90,99,80,74,74,101,,6-9,C,"Round Rock, TX",Baylor
84,75,84,-9,NA,NA,,Bryson Scott,83,,83,75,72,93,99,,6-0,WG,"Fort Wayne, IN",Purdue
85,77,85,-8,NA,NA,,Mike Young,76,57,93,,80,,98,,6-8,PF,"Pittsburgh, PA",Pittsburgh
86,59,85,-26,NA,NA,,Aquille Carr,,,,,63,41,98,,5-7,PG,"Baltimore, MD",Europe
87,81,87,-6,86,9.0,,Wesley Clark,97,79,86,72,87,92,93,,6-0,PG,"Romulus, MI",Missouri
88,,88,new,NA,NA,,Akoy Agau,77,75,,87,81,96,89,,6-9,PF,"Omaha, NE",Louisville
89,,89,new,NA,NA,,Frank Mason,,,,76,88,53,86,,5-11,PG,"Woodstock, VA",Kansas
90,98,90,8,NA,NA,,Kentan Facey,85,98,,66,84,91,81,,6-9,PF,"Glen Head, NY",Connecticut
91,65,91,-26,NA,NA,,Zena Edosomwan,71,,76,82,100,,75,,6-9,PF,"Northfield, MA",Harvard
92,90,92,-2,NA,NA,,Dakarai Allen,79,,49,,,,74,,6-5,WG,"Sacramento, CA",San Diego State
93,60,93,-33,NA,NA,,Nate Britt,80,,,90,91,75,68,,6-1,PG,"Washington, DC",North Carolina
94,,94,new,NA,NA,,Josh Hart,100,92,64,84,,,64,,6-5,WF,"Washington, DC",Villanova
95,,95,new,NA,NA,,Anthony January,,,,,,46,55,,6-7,WF,"Compton, CA",Juco
96,,96,new,NA,NA,,Marcus Allen,,,47,,,,54,,6-2,PG,"Las Vegas, NV",Stanford
97,,97,new,NA,NA,,RaShawn Powell,89,95,77,95,,99,50,,6-0,PG,"Orlando, FL",Memphis
98,,98,new,NA,NA,,Brandon Randolph,87,86,81,,,,49,,6-1,PG,"Inglewood, CA",Xavier
99,72,99,-27,93,5.0,,Kyle Washington,84,97,92,93,96,97,47,,6-9,PF,"Champlin, MN",NC State
100,,100,new,NA,NA,,Tre'Shaun Fletcher,92,76,90,,,,45,,6-6,WF,"Tacoma, WA",Colorado
101,,100,new,NA,NA,,Kendal Yancy-Harris,,85,,,90,83,45,,6-4,PG,"Richardson, TX",Texas
