,,,,,Rankings from: July 2018,,,,,,,,,,
,,,,,,,,,,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,247Sports,Rivals,Total,,Ht,Pos,City,College
50,48,53,15.1,,Talen Horton-Tucker,49,66,63,33,193,,"6'5""",SF,"Chicago, IL",Iowa State
50,-2,53,10.5,,Daniel Oturu,58,57,37,59,193,,"6’9""",PF,"St. Paul, MN",Minnesota
52,-3,55,16.7,,Jalen Carey,48,39,78,53,186,,"6’2""",PG,"Montclair, NJ",Syracuse
52,1,55,7.6,,Brandon Slater,65,52,47,54,186,,"6’5""",SG,"Fairfax, VA",Villanova
54,-7,55,15.4,,Joe Wieskamp,46,77,53,43,185,,"6’6""",SF,"Muscatine, IA",Iowa
55,-5,59,10.6,,Kamaka Hepa,67,68,52,47,170,,"6’8""",PF,"Portland, OR",Texas
56,-2,59,13.1,,Robert Woodard II,59,46,54,77,168,,"6’5""",SF,"Columbus, MS",Mississippi State
57,2,60,10.9,,Jerome Hunter,72,67,50,52,163,,"6’7""",SF,"Pickerington, OH",Indiana
57,-22,NA,NA,,Joey Hauser,43,48,49,,163,,"6’8""",PF,"Stevens Point, WS",Marquette
59,,61,7.2,,Darius Days,66,53,68,57,160,,"6’7""",SF,"Gainesville , FL",LSU
60,-2,65,10.5,,Cormac Ryan,55,65,59,79,146,,"6’5""",SG,"Milton, MA",Stanford
61,12,65,11.3,,Nate Laszewski,74,54,75,56,145,,"6’7""",SF,"Northfield, MA",Notre Dame
62,6,66,5.4,,Marcus Bingham Jr.,69,62,72,61,140,,"6’9""",PF,"Grand Rapids, MI",Michigan State
63,new,67,16.9,,Aaron Nesmith,86,69,45,69,135,,"6'5""",SG,"Charleston, SC",Vanderbilt
64,-8,68,14.7,,Rechon Black,61,51,80,81,131,,"6’5""",SG,"Montverde, FL",North Carolina
65,-14,69,9.2,,Carte'Are Gordon,56,75,76,68,129,,"6’9""",C,"Webster Groves, MO",St. Louis
66,-11,69,11.5,,Miles Norris,54,81,67,74,128,,"6’8""",CF,"San Diego, CA",Oregon
