,,,,,Rankings from: Aug 2017,,,,,,,,,,,
,,,,,,,,,,,* = considered 2016 recruit by some sources,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,Scout,Rivals,247Sports,Total,,Ht,Pos,City,College
1,new,1,0.5,,Marvin Bagley III,2,1,1,2,1,498,,"6'10""",PF,"Chatworth, CA",Duke
2,,2,0.8,,Michael Porter Jr.,1,2,3,1,2,496,,"6'8""",SF,"Seattle, WA",Missouri
3,-2,4,1.3,,DeAndre Ayton,3,3,2,4,5,488,,"7'0""",C,"Phoenix, AZ",Arizona
4,-1,4,0.6,,Mohamed Bamba,6,4,4,3,3,485,,"6'11""",C,"Westtown, PA",Texas
5,-1,7,1.3,,Trevon Duval,4,6,8,5,7,475,,"6'2""",PG,"Bradenton, FL",Duke
6,1,7,1.7,,Collin Sexton,5,7,7,8,4,474,,"6'1""",SG,"Mableton, GA",Alabama
7,-3,7,2.4,,Wendell Carter,7,5,5,6,10,472,,"6'10""",PF,"Atlanta, GA",Duke
8,-2,9,2.1,,Mitchell Robinson,8,11,9,9,6,462,,"7'0""",C,"Chalmette, LA",
9,13,8,1.3,,Jaren Jackson,27,9,6,7,8,448,,"6'10""",PF,"La Porte, IN",Michigan State
10,-1,12,4.0,,Kevin Knox,13,10,10,10,18,444,,"6'8""",SF,"Tampa, FL",Kentucky
11,-3,14,2.1,,Brandon McCoy,9,16,13,12,16,439,,"6'11""",C,"San Diego, CA",UNLV
12,1,14,1.3,,"Troy Brown, Jr",18,15,14,13,12,433,,"6'6""",SF,"Las Vegas, NV",Oregon
13,7,14,4.2,,Jarred Vanderbilt,21,19,12,14,9,430,,"6'8""",PF,"Houston, TX",Kentucky
14,1,15,2.9,,P.J. Washington,15,12,15,15,19,429,,"6'7""",PF,"Henderson, NV",Kentucky
14,-3,16,5.6,,Gary Trent Jr.,12,8,21,18,17,429,,"6'4""",SG,"Napa, CA",Duke
16,1,17,3.9,,Brian Bowen,14,14,19,21,13,424,,"6'7""",SF,"La Porte, IN",Louisville
17,4,16,2.6,,Lonnie Walker,23,13,16,19,14,420,,"6'4""",SG,"Reading, PA",Miami (FL)
18,-4,17,1.0,,Nick Richards,20,17,17,17,15,419,,"6'11""",C,"Elizabeth, NJ",Kentucky
19,-7,19,5.4,,Billy Preston,16,18,23,11,22,415,,"6'9""",PF,"Mouth of Wilson, VA",Kansas
20,-2,22,3.5,,Kris Wilkes,17,26,18,20,23,401,,"6'7""",SF,"Indianapolis, IN",UCLA
20,-1,24,5.8,,Trae Young,10,23,25,16,30,401,,"6'2""",PG,"Norman, OK",Oklahoma
22,7,23,2.6,,Jaylen Hands,22,20,26,23,21,393,,"6'1""",PG,"El Cajon, CA",UCLA
23,1,26,4.9,,Quade Green,19,24,24,22,33,383,,"6'0""",PG,"Philadelphia, PA",Kentucky
24,-1,30,3.8,,M.J. Walker,24,27,31,27,35,361,,"6'4""",SG,"Jonesboro, GA",Florida State
25,5,28,4.1,,Malik Williams,34,29,22,30,31,359,,"6'10""",PF,"Fort Wayne, IN",Louisville
26,1,31,5.9,,Nick Weatherspoon,28,36,27,35,24,355,,"6'1""",PG,"Camden, MS",Mississippi State
27,-1,31,4.9,,Jalek Felton,30,28,28,29,38,352,,"6'3""",SG,"West Columbia, SC",North Carolina
28,3,33,10.2,,John Petty,25,22,46,28,34,350,,"6'5""",SG,"Huntsville, AL",Alabama
29,-1,33,3.9,,Paul Scruggs,29,32,30,39,32,343,,"6'3""",PG,"Napa, CA",Xavier
30,13,33,8.9,,Shai Gilgeous-Alexander,37,35,41,34,20,338,,"6'4""",PG,"Chattanooga, TN",Kentucky
31,22,36,9.3,,Lindell Wigginton,39,39,34,24,46,323,,"6'1""",SG,"Mouth of Wilson, VA",Iowa State
31,18,38,10.0,,Ethan Thompson,31,41,49,36,25,323,,"6'4""",SG,"Gardena, CA",Oregon State
33,6,38,16.4,,Nickell Alexander-Walker,38,21,60,32,37,317,,"6'5""",SG,"Chattanooga, TN",Virginia Tech
34,,37,2.9,,Chaundee Brown,43,33,39,38,39,313,,"6'5""",SG,"Orlando, FL",Wake Forest
35,3,38,10.4,,Brandon Randolph,45,37,36,52,27,308,,"6'6""",SG,"Westtown, PA",Arizona
36,,39,8.2,,Daniel Gafford,46,47,32,31,44,305,,"6'10""",C,"El Dorado, AR",Arkansas
36,6,44,20.0,,Charles O'Bannon Jr.,26,30,72,43,29,305,,"6'6""",SF,"Las Vegas, NV",USC
38,-1,42,7.9,,Tremont Waters,35,34,42,40,53,301,,"5'11""",PG,"West Haven, CT",LSU
39,-6,41,5.3,,Makai Ashton-Langford,42,38,35,47,43,300,,"6'2""",PG,"Wolfeboro, NH",Providence
40,-15,43,4.0,,Jeremiah Tilmon,40,46,37,45,42,295,,"6'10""",C,"East St. Louis, IL",Missouri
41,44,42,15.2,,Kezie Okpala,44,44,29,33,63,292,,"6'7""",SF,"Anaheim, CA",Stanford
42,new,29,9.8,,Emmanuel Akot,,43,20,26,28,287,,"6'8""",SF,"Mt. Pleasant, UT",Arizona
43,1,50,3.4,,D.J. Harvey,32,53,45,51,49,275,,"6'7""",SF,"Hyattsville, MD",Notre Dame
44,-9,49,17.1,,Cody Riley,36,45,33,44,73,274,,"6'7""",PF,"Chatsworth, CA",UCLA
45,-4,46,5.2,,Jermaine Samuels,50,52,44,48,40,271,,"6'6""",SF,"Weston, MA",Villanova
46,-36,11,6.4,,Hamidou Diallo *,11,*,11,*,11,270,,"6'5""",SG,"Putnam, CT",Kentucky
47,-15,52,16.3,,Matt Coleman,33,31,63,46,66,266,,"6'2""",PG,"Mouth of Wilson, VA",Texas
48,8,49,7.9,,Chuma Okeke,52,50,43,42,59,259,,"6'7""",PF,"Atlanta, GA",Auburn
49,1,51,7.3,,Rayshaun Hammonds,48,40,54,53,56,254,,"6'8""",SF,"Norcross, GA",Georgia
50,-5,52,8.9,,Daejon Davis,49,60,40,50,57,249,,"6'3""",SG,"Seattle, WA",Stanford
51,3,54,13.2,,Jericho Sims,59,67,52,59,36,232,,"6'8""",C,"Minneapolis, MN",Texas
52,-4,54,6.7,,Jordan Goodwin,57,55,56,61,45,231,,"6'3""",SG,"Belleville, IL",Saint Louis
53,new,NA,NA,,Jontay Porter,,25,,25,26,227,,"6'10""",PF,"Seattle, WA",Missouri
54,-3,56,13.2,,Marcus Garrett,58,64,70,41,50,222,,"6'5""",PG,"Dallas, TX",Kansas
55,,57,2.5,,Kimani Lawrence,63,57,58,54,60,213,,"6'6""",SF,"New Hampton, NH",Arizona State
56,9,57,18.3,,Savion Flagg,68,81,59,37,52,208,,"6'6""",SF,"Alvin, TX",Texas A&M
57,,59,18.1,,Naji Marshall,75,70,38,49,77,196,,"6'5""",SF,"Greenbelt, VA",Xavier
58,-18,62,11.1,,Davion Mitchell,64,63,47,63,74,194,,"6'1""",PG,"Hinesville, GA",Auburn
59,-13,NA,NA,,Jordan Tucker,47,42,,72,54,189,,"6'7""",SF,"Marietta, GA",Duke
60,-2,63,16.9,,Ira Lee,66,69,81,60,41,188,,"6'7""",PF,"Santa Monica, CA",Arizona
61,2,66,4.0,,Isaiah Washington,56,68,71,62,64,184,,"6'0""",PG,"Bronx, NY",Minnesota
62,-10,66,11.3,,Josh Anderson,73,80,57,56,69,170,,"6'4""",SF,"Baton Rouge, LA",Western Kentucky
63,-16,73,15.6,,Ikey Obiagu,51,83,50,74,83,164,,"6'11""",C,"Decatur, GA",Florida State
64,-5,72,21.0,,Jalen Hill,53,49,100,68,72,163,,"6'7""",C,"Corona, CA",UCLA
65,4,72,20.7,,Chris Lykes,60,48,97,78,65,157,,"5'6""",PG,"Washington, DC",Miami (FL)
66,-6,75,12.3,,Jaylen Nowell,54,59,89,75,75,153,,"6'4""",SG,"Seattle, WA",Washington
67,3,79,15.9,,Nojel Eastern,61,84,96,77,58,129,,"6'5""",SG,"Evanston, IL",Purdue
68,-2,74,14.0,,Nathan Reuvers,81,86,73,83,55,127,,"6'10""",PF,"Lakeville, MN",Wisconsin
69,-8,78,18.8,,Alex O'Connell,67,87,68,58,100,125,,"6'6""",SG,"Milton, GA",Duke
70,7,NA,NA,,Bruno Fernando,,,53,57,71,122,,"610""",C,"Montverde, FL",Maryland
71,-9,79,18.5,,Darius Perry,69,54,85,98,79,120,,"6'2""",PG,"Marietta, GA",Louisville
72,9,82,11.1,,Jemarl Baker,62,66,88,82,91,116,,"6'2""",SG,"Corona, CA",Kentucky
73,6,NA,NA,,Jordan Nwora,,56,,94,48,105,,"6'7""",PF,"Saxton River, VT",Louisville
74,8,NA,NA,,Dhamir Cosby-Roundtree,55,,74,84,88,103,,"6'8""",C,"Philadelphia, PA",Villanova
75,-2,80,10.5,,D'shawn Schwartz,86,71,87,70,90,101,,"6'5""",SF,"Colorado Springs, CO",Colorado
76,-1,NA,NA,,Mitchell Ballock,77,,66,64,,96,,"6'4""",SG,"Eudora, KS",Creighton
77,new,NA,NA,,Sidney Wilson,,,51,71,87,94,,"6'6""",SF,"Wolfeboro, NH",St. John's
78,-14,NA,NA,,Jase Febres,,,48,69,,85,,"6'5""",SG,"Houston, TX",Texas
79,-11,NA,NA,,Derek Culver,76,,84,89,76,79,,"6'10""",PF,"Warren, OH",West Virginia
