,,,,,Rankings from: May 2006,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,!,!,!,!,!,!,,,,,! - updated rankings,
RSCI,Chg,Avg,Dev,,,5yr,PS,HS,RC,HM,DT,RH,Total,,Ht,Pos,City,College
1, ,1,0.0,,Greg Oden,,1,1,1,1,1,1,600,,6-11,C,"Indianapolis, IN",Ohio State
2, ,2,0.0,,Kevin Durant,,2,2,2,2,2,2,594,,6-9,PF-WF,"Mouth of Wilson, VA",Texas
3, ,5,1.6,,Brandan Wright,,7,4,3,4,3,6,579,,6-9,PF-WF,"Brentwood, TN",North Carolina
4,1,6,1.9,,Spencer Hawes,,8,7,6,3,4,5,573,,6-11,C,"Seattle, WA",Washington
5,2,6,2.0,,Tywon Lawson,,5,3,9,6,5,7,571,,6-0,PG,"Mouth of Wilson, VA",North Carolina
6, ,6,1.4,,Thaddeus Young,,6,8,5,7,6,4,570,,6-8,WF-PF,"Memphis, TN",Georgia Tech
7,2,6,3.0,,Chase Budinger,,4,10,4,9,8,3,568,,6-6,WF,"Carlsbad, CA",Arizona
8,-4,7,2.8,,Wayne Ellington,,3,5,8,8,7,11,564,,6-4,WG,"Merion Station, PA",North Carolina
9,-1,10,1.2,,Brook Lopez,,10,11,10,11,11,8,545,,6-11,PF,"Fresno, CA",Stanford
10,8,12,3.1,,Gerald Henderson,,9,17,11,12,15,10,532,,6-4,WF,"Merion Station, PA",Duke
11,1,13,3.3,,Darrell Arthur,,16,9,16,15,9,14,527,,6-9,WF,"Dallas, TX",Kansas
12,2,14,8.5,,Javaris Crittenton,,20,6,7,10,14,28,521,,6-5,WG,"Atlanta, GA",Georgia Tech
13,4,15,4.6,,Daequan Cook,,17,24,13,13,13,12,514,,6-5,WG,"Dayton, OH",Ohio State
14,-1,16,4.4,,Sherron Collins,,13,22,21,14,12,13,511,,5-11,PG,"Chicago, IL",Kansas
15,1,20,3.9,,Damion James,,21,19,17,16,19,27,487,,6-8,PF,"Nacogdoches, TX",Texas
16,-6,20,9.4,,Vernon Macklin,,12,12,37,18,17,24,486,,6-9,PF,"Portsmouth, VA",Georgetown
17,-6,20,5.1,,Derrick Caracter,,14,18,25,24,25,15,485,,6-9,PF,"Elizabeth, NJ",Louisville
