,,,,,Rankings from: May 2019,,,,,,,,,* = updated rankings,
,,,,,,*,*,*,*,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,Rivals,247Sports,Total,,Ht,Pos,City,College
56,28,58,12.9,,Harlond Beverly,71,53,42,65,173,,"6’5""",SG,"Southfield, MI",Miami-FL
56,-1,58,14.2,,Terry Armstrong,53,40,66,72,173,,"6’5""",SG,"Scottsdale, AZ",Arizona
58,-1,58,7.3,,Casey Morsell,64,57,63,48,172,,"6’2""",CG,"Washington, DC",Virginia
59,new,60,20.5,,Pavel Zakharov,58,89,46,45,166,,"6'10""",C,"Montverde, FL",Gonzaga
60,8,62,15.9,,Lester Quinones,68,81,48,49,158,,"6’5""",SG,"Newark, NJ",Memphis
61,1,65,10.6,,Greg Gantt,61,66,54,79,144,,"6’7""",SF,"Fayetteville, NC",Providence
62,-25,NA,NA,,Akok Akok,78,61,,21,143,,"6’8""",PF,"Putnam, CT",Connecticut
63,-10,67,9.1,,Christian Brown,59,64,64,80,137,,"6’6""",SF,"Columbia, SC",Georgia
64,-14,67,22,,Balsa Koprivica,47,49,86,86,136,,"7’0""",C,"Montverde, FL",Florida State
65,8,68,5.5,,Kadin Shedrick,67,70,61,74,132,,"6'10""",C,"Holly Springs, NC",Virginia
66,8,69,17.6,,"Donovan ""Trey"" Williams",55,94,59,66,130,,"6'5""",SG,"Fort Bend, TX",Texas
67,-8,69,4.6,,Eric Dixon,63,74,68,70,129,,"6’7""",PF,"Abington, PA",Villanova
68,-8,70,11.5,,Makhi Mitchell,70,68,56,84,126,,"6’8""",C,"Forestville, MD",Maryland
69,-12,NA,NA,,Patrick McCaffery,44,62,73,,124,,"6’9""",SF,"Iowa City, IA",Iowa
70,-5,71,6.1,,Anthony Harris,69,77,74,63,121,,"6’3""",CG,"Fairfax, VA",North Carolina
70,-6,71,11.9,,Isaac Johnson,66,59,71,87,121,,"6’10""",C,"American Fork, UT",Oregon
72,15,71,15.6,,James Bouknight,85,67,82,51,119,,"6'4""",SG,"Brooklyn, NY",Connecticut
72,-9,71,6.7,,P.J. Fuller,62,73,72,78,119,,"6’3""",CG,"Seattle, WA",TCU
74,new,72,26.9,,Tristan Enaruna,92,97,44,53,118,,"6'8""",SF,"Mt. Pleasant, UT",Kansas
75,-14,77,12.1,,Jaykwon Walton,65,69,85,90,95,,"6’6""",SF,"Montgomery, AL",Georgia
76,-1,78,3.3,,Isaiah Wong,74,80,76,81,93,,"6’2""",SG,"Trenton, NJ",Miami-FL
77,11,NA,NA,,Latrayvion Jackson,79,65,79,,80,,"6’8""",PF,"Bel Air, KS",Missouri
78,new,82,9.2,,RaeQuan Battle,89,88,69,83,75,,"6'4""",SG,"Marysville, WA",Washington
79,-8,NA,NA,,David Johnson,90,76,,64,73,,"6’4""",SG,"Louisville, KY",Louisville
80,new,NA,NA,,Jalen Cone,,53,77,,72,,"5'9""",PG,"Walkertown, NC",Virginia Tech
81,-2,NA,NA,,Terrence Shannon,82,91,60,,70,,"6’7""",SF,"Woodstock, CT",Texas Tech
82,-16,NA,NA,,Juwan Gary,77,63,98,,65,,"6’5""",SG,"Columbia, SC",Alabama
83,12,NA,NA,,Dekeyvan “KyKy” Tandy,80,85,,76,62,,"6’3""",SG,"Hopkinsville, KY",Xavier
