pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
Pa8fc4b7ad7,2016,54.0,54.0,,1.0
Pf8b83ac1f0,2016,49.0,42.0,14.0,2.0
P251ed0e7a3,2016,,,,
Pe40a7b9665,2016,,,,
Pcb0e772806,2016,,,,
P1a32cd4176,2016,28.5,27.0,3.0,2.0
Pd5a40a7ee0,2016,41.5,36.0,11.0,2.0
P5f3e1d9a7e,2016,,,,
Pb920680006,2017,,,,
P09fcc624c4,2016,,,,
Pd7225b3a0b,2016,,,,
Pc01c642a9f,2016,,,,
P85b94bf602,2016,57.0,57.0,,1.0
P80ec619552,2017,,,,
P83cf60968a,2016,46.0,39.0,14.0,2.0
P7222e0f90b,2016,,,,
Pd7c989b67a,2016,33.0,31.0,4.0,2.0
P64adb31e4d,2016,20.0,19.0,2.0,2.0
Pbd6175d1ad,2016,57.0,57.0,,1.0
Paca468f5b5,2016,35.0,35.0,,1.0
Pcf60b82b9d,2016,40.5,32.0,17.0,2.0
Pc72bfd628e,2016,,,,
P6bc657fff3,2016,,,,
P287f82c404,2016,,,,
Pa78dfd4260,2016,,,,
P049f342950,2016,,,,
P41923cb473,2016,,,,
P982f4d9f47,2017,,,,
P53698aab75,2016,,,,
P94ee422c65,2016,,,,
Pfafab37502,2017,,,,
P8e9f5cd10b,2017,,,,
P6f658be6bb,2016,,,,
Pe1b87bba68,2017,,,,
Pe0da967ad1,2016,,,,
Pdc4a696341,2016,,,,
P2bc89b6490,2016,,,,
P7e57b76eb8,2017,,,,
Pc9bdc2e95f,2016,,,,
Pa67da64cf8,2017,,,,
P4370ef2bf5,2017,,,,
P9ac225720c,2017,,,,
Pe75e4da903,2017,,,,
P7719d3d89b,2016,,,,
Pb571c7aa88,2017,,,,
Pb2b564e4f2,2018,,,,
P55c2defaf8,2018,,,,
P25e61f80f8,2017,1.0,1.0,0.0,2.0
P6e7d02b021,2017,2.0,2.0,0.0,2.0
Pe56ae9c7aa,2017,3.5,3.0,1.0,2.0
P6f43cf2ee3,2017,5.0,5.0,0.0,2.0
P8a2034c01d,2017,4.5,3.0,3.0,2.0
P4a000d48b0,2017,7.5,7.0,1.0,2.0
Pe3864f9800,2017,5.0,4.0,2.0,2.0
Pbe6ed6fd51,2017,,,,
P46cfb45fde,2017,11.0,8.0,6.0,2.0
Pf62abcdcde,2017,9.0,7.0,4.0,2.0
Pdb3bcb3fc8,2017,12.5,11.0,3.0,2.0
P71b16faf7a,2017,12.0,12.0,0.0,2.0
Pe6fe5c747b,2017,10.0,10.0,0.0,2.0
P49d50fc2b5,2017,13.0,13.0,0.0,2.0
P24e5e8b7dc,2017,17.5,16.0,3.0,2.0
P2c3a1eb46b,2017,15.0,15.0,0.0,2.0
P1e22570fac,2017,22.5,20.0,5.0,2.0
P3e0fd9667f,2017,,,,
P0af0ac79ae,2017,16.5,16.0,1.0,2.0
Pd808e1b5f8,2017,28.5,21.0,15.0,2.0
Pcc7ddb9ab9,2017,19.5,19.0,1.0,2.0
Pf18fe42b62,2017,17.5,17.0,1.0,2.0
P54d4de841c,2017,26.0,24.0,4.0,2.0
P459acdec33,2017,24.5,22.0,5.0,2.0
P2ad4235514,2017,30.0,30.0,0.0,2.0
P16938f3fa9,2017,30.5,23.0,15.0,2.0
Pe5fb05fea3,2017,35.5,25.0,21.0,2.0
P551a484de7,2017,30.0,26.0,8.0,2.0
P2e6be7d23b,2017,32.0,31.0,2.0,2.0
Pf781dda14b,2017,25.0,21.0,8.0,2.0
P032d23c9d9,2017,25.0,18.0,14.0,2.0
P63f00af37c,2017,29.0,23.0,12.0,2.0
Pc4f84bc197,2017,29.0,24.0,10.0,2.0
Pa79b34cca8,2017,28.0,27.0,2.0,2.0
P38e6db5ca1,2017,33.0,31.0,4.0,2.0
P204a101867,2017,32.5,32.0,1.0,2.0
P1ea9c7c88d,2017,39.0,38.0,2.0,2.0
Pdb78b3595b,2017,39.5,37.0,5.0,2.0
P86ef73625c,2017,51.0,45.0,12.0,2.0
P0d567b6867,2017,45.0,40.0,10.0,2.0
P9d178fdf5d,2017,48.0,46.0,4.0,2.0
P2acab9acdb,2017,49.5,44.0,11.0,2.0
