pid,draft_year,source_id,source_url,archive_url,publication_date,capture_utc,metric,value,unit,method,evidence_sha256,draft_date
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_overall_ppp,1.021,points per possession,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_poss_pg,15.1,possessions per game,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_turnover_pct,13.3,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_shots_fouled_pct,6.3,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_post_ppp,0.979,points per possession,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_post_poss_pg,1.4,possessions per game,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_cut_poss_pct,16.1,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_putback_ppp,1.379,points per possession,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_jump_ppp,0.965,points per possession,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_jump_fg_pct,36.5,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
Peb88f22502,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_finish_ppp,1.23,points per possession,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P297adbbd5f,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_overall_ppp,0.841,points per possession,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P297adbbd5f,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_jump_fg_pct,24.0,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P297adbbd5f,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_rim_fg_pct,48.9,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P297adbbd5f,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_halfcourt_shots_fouled_pct,9.9,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P297adbbd5f,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_putback_poss_pg,3.1,possessions per game,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P7f86ce09cc,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_turnover_pct,18.8,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
P7f86ce09cc,2010,dx2010sf,https://www.draftexpress.com/amp/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503/,https://web.archive.org/web/20100615143232id_/http://www.draftexpress.com:80/article/Situational-Statistics-This-Yearas-Small-Forward-Crop-3503,2010-06-12,2010-06-15T14:32:32+00:00,report_isolation_turnover_pct,30.0,percent (0..100); named event denominator,earlier_manually_verified_archive_fact,b53aa3f9c2b8c8b81a5b3ad79b444c93529aa69951a355a02147de9e9d46ae58,2010-06-24
