pid,draft_year,f50_peer_sd_usage,f50_peer_rank_usage,f50_peer_sd_ts,f50_peer_rank_ts,f50_peer_sd_ast,f50_peer_rank_ast,f50_peer_sd_tov,f50_peer_rank_tov,f50_peer_sd_orb,f50_peer_rank_orb,f50_peer_sd_drb,f50_peer_rank_drb,f50_peer_sd_stl,f50_peer_rank_stl,f50_peer_sd_blk,f50_peer_rank_blk,f50_team_share_fta,f50_team_share_three_a,f50_team_share_rim_a,f50_team_share_dunk_a,f50_team_share_ftm,f50_team_share_three_m,f50_peer_three_diet,f50_peer_rim_diet,f50_peer_defense_density,f50_peer_creation_density,f50_minutes_concentration,f50_usage_concentration,f50_career_slope_two_p,f50_career_slope_three_p,f50_career_slope_ftp,f50_career_slope_ftr,f50_career_slope_ast_tov,f50_career_slope_orb,f50_career_slope_drb,f50_career_slope_minutes,f50_career_slope_ts,f50_career_slope_usage,f50_posterior_ft,f50_posterior_three,f50_posterior_rim,f50_posterior_mid,f50_posterior_dunk,f50_posterior_two,f50_nondunk_rim_pct,f50_rim_ft_pressure,f50_perimeter_ft_agreement,f50_assist_usage_efficiency,f50_balanced_stocks,f50_foul_adjusted_rebounds
P2d45174d7f,2008,4.027872590055619,1.0,5.882438417104851,0.8333333333333334,6.82585290405531,1.0,3.5902718575769916,0.8333333333333334,4.577629839830629,0.375,6.040624213854396,0.5,0.5536620573571575,0.4166666666666667,2.8451671921087796,0.5833333333333334,0.20686175580222,0.12023121387283237,,,0.24013157894736842,0.11589403973509933,0.34843802329618767,,5.673391060145097,0.6730109543389372,0.1118824480572541,0.1259517312705177,,,,,,,,,,,0.7111111111111111,0.33766233766233766,,,,0.5188172043010753,,,0.16962283384301735,0.883568345323741,1.6611111111111112,5.0606060606060606
P722aa856f7,2008,5.53388680901725,1.0,5.465022103261782,1.0,5.4095553540219345,0.25,6.302479166611985,0.16666666666666666,3.849789488382699,0.9166666666666666,3.4477445120278736,1.0,0.7859140460790747,0.6666666666666666,1.0391339952275487,1.0,0.36412315930388217,0.14307931570762053,,,0.40733590733590735,0.16990291262135923,0.3804603710386233,,3.136589992885938,0.6187665869267143,0.10804777656746194,0.14530077113935314,,,,,,,,,,,0.7705479452054794,0.36619718309859156,,,,0.5533596837944664,,,0.1270437472381794,0.21483673469387757,3.260759493670886,10.238095238095237
P552ea773e2,2008,3.9065926040488255,0.9230769230769231,6.99463920662549,0.6153846153846154,5.6037443685795445,1.0,5.786146784854503,0.23076923076923078,3.9590503935688797,0.5384615384615384,4.8555986457395495,0.46153846153846156,0.506744717515497,0.9230769230769231,3.1595404608734468,0.6538461538461539,0.22995461422087746,0.45168067226890757,,,0.2693156732891832,0.4782608695652174,0.23738518510550616,,4.0863992172211345,0.4505957564636314,0.13383516871407886,0.16642669426318596,,,,,,,,,,,0.7906976744186046,0.39622641509433965,,,,0.46814404432132967,,,0.31716417910447764,0.5502857142857143,1.5277777777777777,3.9166666666666665
P67ee7c4408,2008,4.548428103323743,0.8,7.4493722864373275,0.6666666666666666,6.343933125724076,0.8666666666666667,4.361366691639877,0.4666666666666667,5.53244746743194,0.6,7.21050965295752,0.2,0.9119949143218624,0.8,2.3951411459733873,0.4,0.18757921419518378,0.12647554806070826,,,0.18072289156626506,0.11764705882352941,0.27848644038477405,,4.617986997351312,0.6057024078486235,0.12680475683054196,0.14480446252514045,,,,,,,,,,,0.7083333333333334,0.328,,,,0.49712643678160917,,,0.1387075718015666,0.8180425531914893,0.9942857142857143,3.666666666666667
Pdfe2a49906,2008,3.281295037733801,0.9333333333333333,6.090523138698718,0.9333333333333333,8.019531146211909,0.6666666666666666,3.870835039364553,0.13333333333333333,4.0016877329087315,0.9333333333333333,3.520926907679395,1.0,0.9007008773735609,0.4,2.146665775699325,0.8666666666666667,0.3181242078580482,0.13827993254637436,,,0.33218588640275387,0.14215686274509803,0.2744867521301554,,4.068341944574917,0.6669241009249133,0.12680475683054196,0.14480446252514045,,,,,,,,,,,0.7638376383763837,0.3484848484848485,,,,0.596045197740113,,,0.15816839986581685,0.41693617021276597,2.3076923076923075,12.194444444444446
Pd43d378f42,2008,4.915950892316001,1.0,9.173302460588557,0.6153846153846154,7.20943959681469,0.7692307692307693,6.703199456001495,0.34615384615384615,3.7403914647325167,0.23076923076923078,5.950660508508537,0.11538461538461539,0.6001824239601496,0.6538461538461539,1.907874195141067,0.5384615384615384,0.36447368421052634,0.3285939968404423,,,0.4003466204506066,0.3167420814479638,0.3177291932101402,,4.159237044145874,0.6227076020395751,0.12462212386466091,0.15336840194178566,,,,,,,,,,,0.8249158249158249,0.3372093023255814,,,,0.5214007782101168,,,0.40372350960586256,0.3926254071661238,2.13953488372093,3.0285714285714285
P2e38e474e2,2008,3.31298380343555,0.9285714285714286,7.754516704555375,0.5,4.320963450059474,0.8571428571428571,3.9674839436891123,0.35714285714285715,3.426140385048535,0.5,2.9324053666564214,0.8571428571428571,0.6331894926367352,0.03571428571428571,3.0564215425594825,0.7857142857142857,0.2483745123537061,0.05337078651685393,,,0.29545454545454547,0.04296875,0.4129723783915325,,4.607949988204766,0.8481341438163545,0.12582672000000003,0.13692442711468916,,,,,,,,,,,0.8056872037914692,0.3181818181818182,,,,0.47854077253218885,,,0.06598300375878412,0.49317406143344705,2.231884057971014,5.130434782608696
P376f10f64c,2008,4.1543657975978405,1.0,5.955419617057182,0.6666666666666666,4.054363055166577,1.0,4.537299080180986,0.5,4.694713538846799,0.16666666666666666,6.207421017472467,0.08333333333333333,0.8781425348846664,0.6666666666666666,3.0478568022909145,0.125,0.31170662905500707,0.2441860465116279,,,0.3574380165289256,0.24489795918367346,0.32366476286670237,,5.215267175572518,0.6718051054971437,0.14320651166707274,0.163783518424819,,,,,,,,,,,0.7759336099585062,0.3723849372384937,,,,0.4746192893401015,,,0.2700763393778226,0.8863448275862069,0.0,3.111111111111111
Pab86c7dfaf,2008,2.754001496511859,1.0,5.707765101875146,0.5454545454545454,8.29624527430133,0.36363636363636365,5.220735429043747,0.0,5.030929494528152,0.7272727272727273,2.524920676811646,1.0,0.3349811128520925,0.36363636363636365,3.0358494190647582,0.9090909090909091,0.2440251572327044,0.011029411764705883,,,0.27717391304347827,0.0,0.3134979127679062,,3.402346570397112,0.6546108851096517,0.1092188,0.11713861062962333,,,,,,,,,,,0.780373831775701,0.30357142857142855,,,,0.477751756440281,,,0.011914104301919099,0.29619696969696974,2.04,7.238095238095237
P5f07dfebd6,2008,5.897354828914775,1.0,7.2286814120941205,0.7692307692307693,8.327976786755848,0.9230769230769231,4.365160989272769,0.3076923076923077,3.705150548764233,0.11538461538461539,5.055880393970646,0.23076923076923078,1.1167168537790593,0.7307692307692307,2.084479073532271,0.19230769230769232,0.3101449275362319,0.2591240875912409,,,0.34824902723735407,0.271889400921659,0.3010557041646103,,3.7423833214877997,0.7139144371012267,0.13076618124184952,0.16597005732774278,,,,,,,,,,,0.8247863247863247,0.3958333333333333,,,,0.48880597014925375,,,0.31653961653961654,0.6876744966442953,0.51,2.6
